OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN
January,Wednesday,2020,18,D13,,NO,YES,YES,031,Yorkdale-Glen Park (31),-79.4570370392729,43.710157754867204,1,0,0,0,0
January,Wednesday,2020,8,D51,,YES,NO,NO,073,Moss Park (73),-79.37234885050398,43.65155039065402,1,0,0,0,1
January,Wednesday,2020,19,D41,,NO,YES,NO,126,Dorset Park (126),-79.28333039434787,43.77170593800947,1,0,0,0,0
January,Wednesday,2020,21,D33,,NO,NO,YES,150,Fenside-Parkwoods (150),-79.33795325846107,43.75776741515415,1,0,0,0,0
January,Wednesday,2020,19,D52,,NO,YES,NO,170,Yonge-Bay Corridor (170),-79.38400924458271,43.65643079553456,1,0,0,0,0
January,Wednesday,2020,17,D23,,NO,NO,YES,008,Humber Heights-Westmount (8),-79.51147868425664,43.68400239601657,1,0,0,0,0
January,Wednesday,2020,2,D14,,YES,YES,NO,086,Roncesvalles (86),-79.4286372237863,43.64220588807775,1,0,0,0,0
January,Wednesday,2020,12,D31,,NO,YES,NO,154,Oakdale-Beverley Heights (154),-79.4967346452309,43.72337414643951,1,0,0,0,0
January,Wednesday,2020,16,D43,,YES,NO,NO,140,Guildwood (140),-79.20309159153398,43.746043093002775,1,0,0,0,0
January,Wednesday,2020,1,D55,,NO,NO,YES,062,East End-Danforth (62),-79.30055625233094,43.688447123843794,1,0,1,0,0
January,Wednesday,2020,0,D52,,YES,NO,NO,164,Wellington Place (164),-79.38865813860727,43.643979183082834,1,0,0,1,0
January,Wednesday,2020,17,D12,,NO,NO,YES,112,Beechborough-Greenbrook (112),-79.4771502885505,43.6896715889162,1,0,0,0,0
January,Wednesday,2020,18,D32,,YES,NO,NO,036,Newtonbrook West (36),-79.41849334892314,43.77913089919968,1,0,1,0,0
January,Wednesday,2020,18,D13,,NO,NO,YES,102,Forest Hill North (102),-79.43136729749432,43.70067846774355,1,0,0,0,1
January,Wednesday,2020,18,D32,,YES,NO,NO,031,Yorkdale-Glen Park (31),-79.44650683069729,43.715615457346686,1,0,1,0,0
January,Wednesday,2020,17,D13,,NO,NO,YES,094,Wychwood (94),-79.43522892352571,43.677992616019914,1,0,1,0,0
January,Wednesday,2020,1,D53,,NO,NO,YES,095,Annex (95),-79.40358844374651,43.675587319471916,1,0,1,0,0
January,Wednesday,2020,12,D53,,NO,NO,YES,098,Rosedale-Moore Park (98),-79.3940734629841,43.68803364422179,1,0,0,0,0
January,Wednesday,2020,1,D13,,NO,YES,NO,106,Humewood-Cedarvale (106),-79.42965590411121,43.69682827450107,1,0,0,0,0
January,Wednesday,2020,1,D42,,NO,YES,YES,118,Tam O'Shanter-Sullivan (118),-79.299347987595,43.78359734276375,1,0,0,0,0
January,Wednesday,2020,11,D53,,NO,NO,YES,173,North Toronto (173),-79.39831324474767,43.70674080495774,1,0,0,0,0
January,Wednesday,2020,20,D13,,NO,NO,YES,107,Oakwood Village (107),-79.43763910481562,43.689963781107025,1,0,0,0,0
January,Wednesday,2020,2,D51,,YES,YES,NO,166,St Lawrence-East Bayfront-The Islands (166),-79.36120375741801,43.64772858683216,1,0,0,0,0
January,Wednesday,2020,16,D53,,NO,NO,YES,056,Leaside-Bennington (56),-79.37491838660462,43.7051141540347,1,0,0,0,0
January,Wednesday,2020,1,D32,,NO,NO,YES,036,Newtonbrook West (36),-79.4241092301734,43.78563020189807,1,0,0,0,0
January,Wednesday,2020,2,D52,,NO,NO,YES,170,Yonge-Bay Corridor (170),-79.38517944092271,43.64828098738461,1,0,1,0,0
