OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN
January,Friday,2021,17,D12,,NO,NO,YES,113,Weston (113),-79.51619245237111,43.70015456517093,1,0,0,0,0
January,Friday,2021,11,D55,,NO,NO,YES,054,O'Connor-Parkview (54),-79.29644076364005,43.709911488327144,1,0,1,0,0
January,Friday,2021,20,D43,,NO,YES,NO,141,Golfdale-Cedarbrae-Woburn (141),-79.22469994977568,43.757833599285796,1,0,0,0,0
January,Friday,2021,19,D12,,NO,NO,YES,113,Weston (113),-79.51774105209435,43.70059626494025,1,0,0,0,0
January,Friday,2021,18,D33,,NO,NO,YES,150,Fenside-Parkwoods (150),-79.3473084554628,43.76173851489545,1,0,0,0,0
January,Friday,2021,19,D13,,NO,NO,YES,096,Casa Loma (96),-79.41830923493404,43.68322342027825,1,0,0,0,0
January,Friday,2021,16,D32,,NO,NO,YES,105,Lawrence Park North (105),-79.40424144612284,43.732926676444706,1,0,0,0,0
January,Friday,2021,16,D43,,NO,NO,YES,142,Woburn North (142),-79.2262409058316,43.76219641225799,1,0,0,0,0
January,Friday,2021,15,D13,,NO,NO,YES,092,Corso Italia-Davenport (92),-79.45473261740453,43.67527912462009,1,0,0,0,0
January,Friday,2021,15,D53,,NO,NO,YES,173,North Toronto (173),-79.39280825458692,43.70789121287966,1,0,0,0,0
January,Friday,2021,14,D32,,NO,NO,YES,050,Newtonbrook East (50),-79.4155662486542,43.779764396334784,1,0,0,0,0
January,Friday,2021,12,D42,,NO,YES,NO,144,Morningside Heights (144),-79.16202532705823,43.806772977361554,1,0,0,0,0
January,Friday,2021,14,D14,,NO,NO,YES,165,Harbourfront-CityPlace (165),-79.3996407334517,43.63648217558591,1,0,0,0,0
January,Friday,2021,10,D33,,NO,YES,NO,048,Hillcrest Village (48),-79.36620262623009,43.79143253207107,1,0,0,0,0
January,Saturday,2021,14,D42,,NO,NO,YES,130,Milliken (130),-79.27196692903094,43.81793620816464,1,0,1,0,0
January,Saturday,2021,10,D53,,NO,NO,YES,055,Thorncliffe Park (55),-79.34661502162206,43.703234389898334,1,0,0,0,0
January,Saturday,2021,13,D13,,NO,NO,YES,102,Forest Hill North (102),-79.43904159078797,43.698109366034366,1,0,0,0,0
January,Saturday,2021,18,D33,,YES,NO,NO,149,Parkwoods-O'Connor Hills (149),-79.33795325846107,43.75776741515415,1,0,0,0,0
January,Saturday,2021,5,D12,,NO,NO,YES,112,Beechborough-Greenbrook (112),-79.47849618073435,43.69324788003218,1,0,0,0,0
January,Saturday,2021,19,D22,,NO,NO,YES,158,Islington (158),-79.52508129551452,43.64838011134914,1,0,0,0,0
January,Saturday,2021,5,D12,,NO,NO,YES,112,Beechborough-Greenbrook (112),-79.48392888375288,43.69105568616362,1,0,1,0,0
January,Saturday,2021,8,D23,,NO,NO,YES,001,West Humber-Clairville (1),-79.55494962433102,43.71359862727907,1,0,0,0,0
January,Saturday,2021,14,D12,,NO,YES,NO,115,Mount Dennis (115),-79.4912076848477,43.68659518929273,1,0,0,0,0
January,Saturday,2021,21,D42,,NO,NO,YES,148,East L'Amoreaux (148),-79.31575388981902,43.79676839792209,1,0,1,0,0
